gene_id,original_id,scer_gene_name,functional_category,category_order
GWK60_K11803,QNG15910.1,ENA1,Transporters,1
NA,NA,ENA2,Transporters,1
GWK60_A01155,QNG12158.1,GIT1,Transporters,1
GWK60_B02321,QNG12413.1,PHO84,Transporters,1
NA,NA,PHO89,Transporters,1
GWK60_M12617,QNG17261.1,VTC1,Poly P Metabolism,2
GWK60_F01903,QNG13408.1,VTC2,Poly P Metabolism,2
NA,NA,VTC3,Poly P Metabolism,2
GWK60_G06677,QNG13997.1,VTC4,Poly P Metabolism,2
GWK60_L08591,QNG16326.1,PHO81,Regulatory,3
GWK60_L09779,QNG16378.1,PHO86,Regulatory,3
NA,NA,SPL2,Regulatory,3
GWK60_M09779,QNG17135.1,VIP1,Regulatory,3
GWK60_L10791,QNG16422.1,DDP1,Phosphatases,4
GWK60_J06875,QNG15175.1,GDE1,Phosphatases,4
GWK60_I01309,QNG14663.1,HOR2,Phosphatases,4
GWK60_C01925,QNG12614.1,PHM8,Phosphatases,4
NA,NA,PHO11,Phosphatases,4
NA,NA,PHO12,Phosphatases,4
NA,NA,PHO5,Phosphatases,4
GWK60_H07337,QNG14462.1,PHO8,Phosphatases,4
GWK60_H01617,QNG14213.1,CBF1,Other,5
GWK60_F01793,QNG13403.1,CTF19,Other,5
NA,NA,PHM6,Other,5
GWK60_H09185,QNG14545.1,SDT1,Other,5
