Orthogroup	Species Tree Node	Gene Tree Node	Support	Type	Genes 1	Genes 2
OG0000000	K_lactis	n3	1.0	Terminal	K_lactis_XP_002999367.1 uncharacterized protein KLLA0_D00264g [Kluyveromyces lactis], K_lactis_XP_453062.1 uncharacterized protein KLLA0_C19316g [Kluyveromyces lactis], K_lactis_XP_454605.1 uncharacterized protein KLLA0_E14543g [Kluyveromyces lactis], K_lactis_XP_451543.1 uncharacterized protein KLLA0_B00308g [Kluyveromyces lactis]	K_lactis_XP_451520.1 uncharacterized protein KLLA0_A11935g [Kluyveromyces lactis], K_lactis_XP_452196.1 uncharacterized protein KLLA0_B14916g [Kluyveromyces lactis]
OG0000000	K_lactis	n4	1.0	Terminal	K_lactis_XP_002999367.1 uncharacterized protein KLLA0_D00264g [Kluyveromyces lactis]	K_lactis_XP_453062.1 uncharacterized protein KLLA0_C19316g [Kluyveromyces lactis], K_lactis_XP_454605.1 uncharacterized protein KLLA0_E14543g [Kluyveromyces lactis], K_lactis_XP_451543.1 uncharacterized protein KLLA0_B00308g [Kluyveromyces lactis]
OG0000000	K_lactis	n5	1.0	Terminal	K_lactis_XP_453062.1 uncharacterized protein KLLA0_C19316g [Kluyveromyces lactis]	K_lactis_XP_454605.1 uncharacterized protein KLLA0_E14543g [Kluyveromyces lactis], K_lactis_XP_451543.1 uncharacterized protein KLLA0_B00308g [Kluyveromyces lactis]
OG0000000	K_lactis	n6	1.0	Terminal	K_lactis_XP_454605.1 uncharacterized protein KLLA0_E14543g [Kluyveromyces lactis]	K_lactis_XP_451543.1 uncharacterized protein KLLA0_B00308g [Kluyveromyces lactis]
OG0000000	K_lactis	n7	1.0	Terminal	K_lactis_XP_451520.1 uncharacterized protein KLLA0_A11935g [Kluyveromyces lactis]	K_lactis_XP_452196.1 uncharacterized protein KLLA0_B14916g [Kluyveromyces lactis]
OG0000000	L_kluyveri	n8	1.0	Terminal	L_kluyveri_g000498.m1	L_kluyveri_g003826.m1
OG0000000	N8	n9	0.5	Non-Terminal	C_glabrata_QNG14851.1 PWP4 [Nakaseomyces glabratus], C_glabrata_QNG14845.1 PWP7 [Nakaseomyces glabratus], C_glabrata_QNG15954.1 AED1 [Nakaseomyces glabratus]	C_glabrata_QNG13325.1 EPA16 [Nakaseomyces glabratus], C_glabrata_QNG16703.1 EPA11 [Nakaseomyces glabratus], C_glabrata_QNG13049.1 EPA21 [Nakaseomyces glabratus], C_glabrata_QNG16564.1 uncharacterized protein GWK60_L14091 [Nakaseomyces glabratus], C_glabrata_QNG12754.1 uncharacterized protein GWK60_D00011 [Nakaseomyces glabratus], C_glabrata_QNG12311.1 uncharacterized protein GWK60_A04697 [Nakaseomyces glabratus], C_glabrata_QNG13707.1 uncharacterized protein GWK60_F08745 [Nakaseomyces glabratus], C_glabrata_QNG15955.1 uncharacterized protein GWK60_L00011 [Nakaseomyces glabratus], C_glabrata_QNG12530.1 uncharacterized protein GWK60_C00077 [Nakaseomyces glabratus], C_glabrata_QNG14848.1 PWP2 [Nakaseomyces glabratus], C_glabrata_QNG14139.1 AWP12 [Nakaseomyces glabratus], C_glabrata_QNG12555.1 uncharacterized protein GWK60_C00627 [Nakaseomyces glabratus], C_glabrata_QNG12558.1 uncharacterized protein GWK60_C00693 [Nakaseomyces glabratus], C_glabrata_QNG12107.1 EPA19 [Nakaseomyces glabratus], C_glabrata_QNG16704.1 EPA13 [Nakaseomyces glabratus], C_nivariensis_g004690.m1, C_glabrata_QNG12159.1 EPA10 [Nakaseomyces glabratus], C_glabrata_QNG12161.1 EPA9 [Nakaseomyces glabratus], C_nivariensis_g005069.m1, C_nivariensis_g002896.m1, C_glabrata_QNG13323.1 EPA2 [Nakaseomyces glabratus], C_glabrata_QNG14878.1 EPA4 [Nakaseomyces glabratus], C_glabrata_QNG14879.1 EPA5 [Nakaseomyces glabratus], C_glabrata_QNG12753.1 EPA26 [Nakaseomyces glabratus], C_glabrata_QNG13324.1 EPA3 [Nakaseomyces glabratus], C_glabrata_QNG15398.1 EPA22 [Nakaseomyces glabratus], C_glabrata_QNG12557.1 EPA8 [Nakaseomyces glabratus], C_glabrata_QNG16706.1 EPA14a [Nakaseomyces glabratus], C_glabrata_QNG17326.1 EPA14b [Nakaseomyces glabratus], C_glabrata_QNG12755.1 uncharacterized protein GWK60_D00033 [Nakaseomyces glabratus], C_glabrata_QNG12108.1 EPA24 [Nakaseomyces glabratus], C_glabrata_QNG12752.1 EPA25 [Nakaseomyces glabratus], C_glabrata_QNG15394.1 EPA15 [Nakaseomyces glabratus], C_glabrata_QNG16708.1 EPA12 [Nakaseomyces glabratus], C_glabrata_QNG13322.1 EPA1 [Nakaseomyces glabratus], C_glabrata_QNG13050.1 EPA7 [Nakaseomyces glabratus], C_glabrata_QNG12527.1 EPA6 [Nakaseomyces glabratus], C_glabrata_QNG14606.1 EPA17 [Nakaseomyces glabratus], C_glabrata_QNG15956.1 EPA23 [Nakaseomyces glabratus], C_nivariensis_g004993.m1, C_nivariensis_g005211.m1, C_nivariensis_g005214.m1, C_nivariensis_g001069.m1, C_nivariensis_g001068.m1, C_nivariensis_g005382.m1, C_nivariensis_g005216.m1, C_nivariensis_g001297.m1, C_nivariensis_g005215.m1, C_nivariensis_g000945.m1, C_nivariensis_g003384.m1, C_nivariensis_g003718.m1, C_nivariensis_g005070.m1, C_nivariensis_g002897.m1, C_glabrata_QNG13052.1 EPA20 [Nakaseomyces glabratus], C_nivariensis_g005386.m1, C_glabrata_QNG15953.1 AED2 [Nakaseomyces glabratus]
OG0000000	C_glabrata	n10	1.0	Terminal	C_glabrata_QNG14851.1 PWP4 [Nakaseomyces glabratus]	C_glabrata_QNG14845.1 PWP7 [Nakaseomyces glabratus], C_glabrata_QNG15954.1 AED1 [Nakaseomyces glabratus]
OG0000000	C_glabrata	n11	1.0	Terminal	C_glabrata_QNG14845.1 PWP7 [Nakaseomyces glabratus]	C_glabrata_QNG15954.1 AED1 [Nakaseomyces glabratus]
OG0000000	N8	n12	1.0	Non-Terminal	C_glabrata_QNG13325.1 EPA16 [Nakaseomyces glabratus], C_glabrata_QNG16703.1 EPA11 [Nakaseomyces glabratus], C_glabrata_QNG13049.1 EPA21 [Nakaseomyces glabratus], C_glabrata_QNG16564.1 uncharacterized protein GWK60_L14091 [Nakaseomyces glabratus], C_glabrata_QNG12754.1 uncharacterized protein GWK60_D00011 [Nakaseomyces glabratus], C_glabrata_QNG12311.1 uncharacterized protein GWK60_A04697 [Nakaseomyces glabratus], C_glabrata_QNG13707.1 uncharacterized protein GWK60_F08745 [Nakaseomyces glabratus], C_glabrata_QNG15955.1 uncharacterized protein GWK60_L00011 [Nakaseomyces glabratus], C_glabrata_QNG12530.1 uncharacterized protein GWK60_C00077 [Nakaseomyces glabratus], C_glabrata_QNG14848.1 PWP2 [Nakaseomyces glabratus], C_glabrata_QNG14139.1 AWP12 [Nakaseomyces glabratus], C_glabrata_QNG12555.1 uncharacterized protein GWK60_C00627 [Nakaseomyces glabratus], C_glabrata_QNG12558.1 uncharacterized protein GWK60_C00693 [Nakaseomyces glabratus], C_glabrata_QNG12107.1 EPA19 [Nakaseomyces glabratus], C_glabrata_QNG16704.1 EPA13 [Nakaseomyces glabratus], C_nivariensis_g004690.m1, C_glabrata_QNG12159.1 EPA10 [Nakaseomyces glabratus], C_glabrata_QNG12161.1 EPA9 [Nakaseomyces glabratus], C_nivariensis_g005069.m1, C_nivariensis_g002896.m1, C_glabrata_QNG13323.1 EPA2 [Nakaseomyces glabratus], C_glabrata_QNG14878.1 EPA4 [Nakaseomyces glabratus], C_glabrata_QNG14879.1 EPA5 [Nakaseomyces glabratus], C_glabrata_QNG12753.1 EPA26 [Nakaseomyces glabratus], C_glabrata_QNG13324.1 EPA3 [Nakaseomyces glabratus], C_glabrata_QNG15398.1 EPA22 [Nakaseomyces glabratus], C_glabrata_QNG12557.1 EPA8 [Nakaseomyces glabratus], C_glabrata_QNG16706.1 EPA14a [Nakaseomyces glabratus], C_glabrata_QNG17326.1 EPA14b [Nakaseomyces glabratus], C_glabrata_QNG12755.1 uncharacterized protein GWK60_D00033 [Nakaseomyces glabratus], C_glabrata_QNG12108.1 EPA24 [Nakaseomyces glabratus], C_glabrata_QNG12752.1 EPA25 [Nakaseomyces glabratus], C_glabrata_QNG15394.1 EPA15 [Nakaseomyces glabratus], C_glabrata_QNG16708.1 EPA12 [Nakaseomyces glabratus], C_glabrata_QNG13322.1 EPA1 [Nakaseomyces glabratus], C_glabrata_QNG13050.1 EPA7 [Nakaseomyces glabratus], C_glabrata_QNG12527.1 EPA6 [Nakaseomyces glabratus], C_glabrata_QNG14606.1 EPA17 [Nakaseomyces glabratus], C_glabrata_QNG15956.1 EPA23 [Nakaseomyces glabratus], C_nivariensis_g004993.m1, C_nivariensis_g005211.m1, C_nivariensis_g005214.m1, C_nivariensis_g001069.m1, C_nivariensis_g001068.m1, C_nivariensis_g005382.m1, C_nivariensis_g005216.m1, C_nivariensis_g001297.m1, C_nivariensis_g005215.m1, C_nivariensis_g000945.m1, C_nivariensis_g003384.m1, C_nivariensis_g003718.m1, C_nivariensis_g005070.m1, C_nivariensis_g002897.m1, C_glabrata_QNG13052.1 EPA20 [Nakaseomyces glabratus]	C_nivariensis_g005386.m1, C_glabrata_QNG15953.1 AED2 [Nakaseomyces glabratus]
