xp_id,locus_tag
XP_451004.1,KLLA0_A00110g
XP_451005.1,KLLA0_A00132g
XP_002999344.1,KLLA0_A00143g
XP_451006.2,KLLA0_A00154g
XP_451007.1,KLLA0_A00176g
XP_451008.1,KLLA0_A00198g
XP_451009.1,KLLA0_A00220g
XP_451010.1,KLLA0_A00242g
XP_451011.1,KLLA0_A00264g
XP_451012.2,KLLA0_A00286g
XP_451013.1,KLLA0_A00352g
XP_451014.1,KLLA0_A00374g
XP_451015.1,KLLA0_A00396g
XP_451016.1,KLLA0_A00418g
XP_451017.1,KLLA0_A00440g
XP_451018.1,KLLA0_A00462g
XP_451019.1,KLLA0_A00484g
XP_451020.1,KLLA0_A00506g
XP_451021.1,KLLA0_A00528g
XP_002999345.1,KLLA0_A00539g
XP_451022.1,KLLA0_A00550g
XP_451023.1,KLLA0_A00572g
XP_451024.1,KLLA0_A00594g
XP_451025.2,KLLA0_A00616g
XP_451026.1,KLLA0_A00638g
XP_451027.1,KLLA0_A00660g
XP_451028.1,KLLA0_A00682g
XP_451030.1,KLLA0_A00715g
XP_451031.1,KLLA0_A00737g
XP_451032.1,KLLA0_A00759g
XP_451033.1,KLLA0_A00781g
XP_451034.1,KLLA0_A00803g
XP_451035.1,KLLA0_A00825g
XP_451036.1,KLLA0_A00847g
XP_451037.1,KLLA0_A00869g
XP_451038.1,KLLA0_A00891g
XP_451039.1,KLLA0_A00913g
XP_451040.1,KLLA0_A00935g
XP_451041.1,KLLA0_A00957g
XP_451042.1,KLLA0_A00979g
XP_451043.1,KLLA0_A01001g
XP_451044.1,KLLA0_A01023g
XP_451045.1,KLLA0_A01045g
XP_451046.1,KLLA0_A01067g
XP_451047.1,KLLA0_A01089g
XP_451048.1,KLLA0_A01111g
XP_451049.1,KLLA0_A01133g
XP_451050.1,KLLA0_A01155g
XP_451051.1,KLLA0_A01177g
XP_451052.1,KLLA0_A01199g
XP_451053.1,KLLA0_A01221g
XP_451054.2,KLLA0_A01287g
XP_451055.1,KLLA0_A01297g
