From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	Gene Ontology (GO)	Gene Ontology IDs
KLLA0_A00176g	Q6CYI2	unreviewed	Q6CYI2_KLULA	acid phosphatase (EC 3.1.3.2)	KLLA0_A00176g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	469		fungal-type cell wall [GO:0009277]	acid phosphatase activity [GO:0003993]	fungal-type cell wall [GO:0009277]; acid phosphatase activity [GO:0003993]	GO:0003993; GO:0009277
KLLA0_A00242g	Q6CYH9	unreviewed	Q6CYH9_KLULA	KLLA0A00242p	KLLA0_A00242g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	277		plasma membrane [GO:0005886]	acetate transmembrane transporter activity [GO:0015123]	plasma membrane [GO:0005886]; acetate transmembrane transporter activity [GO:0015123]	GO:0005886; GO:0015123
KLLA0_A01694g	Q6CYB5	unreviewed	Q6CYB5_KLULA	KLLA0A01694p	KLLA0_A01694g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	568		plasma membrane [GO:0005886]	carboxylic acid transmembrane transporter activity [GO:0046943]	plasma membrane [GO:0005886]; carboxylic acid transmembrane transporter activity [GO:0046943]	GO:0005886; GO:0046943
KLLA0_A04037g	Q6CY11	unreviewed	Q6CY11_KLULA	Protein MAK16	KLLA0_A04037g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	302	maturation of 5.8S rRNA [GO:0000460]; maturation of LSU-rRNA [GO:0000470]	nucleolus [GO:0005730]; preribosome, large subunit precursor [GO:0030687]		nucleolus [GO:0005730]; preribosome, large subunit precursor [GO:0030687]; maturation of 5.8S rRNA [GO:0000460]; maturation of LSU-rRNA [GO:0000470]	GO:0000460; GO:0000470; GO:0005730; GO:0030687
KLLA0_A04125g	Q6CY07	unreviewed	Q6CY07_KLULA	KLLA0A04125p	KLLA0_A04125g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	587	glycerophospholipid biosynthetic process [GO:0046474]	mitochondrion [GO:0005739]		mitochondrion [GO:0005739]; glycerophospholipid biosynthetic process [GO:0046474]	GO:0005739; GO:0046474
KLLA0_A04147g	Q6CY06	unreviewed	Q6CY06_KLULA	KLLA0A04147p	KLLA0_A04147g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	362	protein folding [GO:0006457]	cytosol [GO:0005829]	ATPase activator activity [GO:0001671]; protein-folding chaperone binding [GO:0051087]	cytosol [GO:0005829]; ATPase activator activity [GO:0001671]; protein-folding chaperone binding [GO:0051087]; protein folding [GO:0006457]	GO:0001671; GO:0005829; GO:0006457; GO:0051087
KLLA0_A04653g	Q6CXY5	unreviewed	Q6CXY5_KLULA	KLLA0A04653p	KLLA0_A04653g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	700	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]	90S preribosome [GO:0030686]; nucleolus [GO:0005730]; small-subunit processome [GO:0032040]		90S preribosome [GO:0030686]; nucleolus [GO:0005730]; small-subunit processome [GO:0032040]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]	GO:0000462; GO:0005730; GO:0030686; GO:0032040
KLLA0_A04961g	Q6CXX1	unreviewed	Q6CXX1_KLULA	3-isopropylmalate dehydratase (EC 4.2.1.33) (Alpha-IPM isomerase) (Isopropylmalate isomerase)	KLLA0_A04961g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	785	L-leucine biosynthetic process [GO:0009098]	3-isopropylmalate dehydratase complex [GO:0009316]	3-isopropylmalate dehydratase activity [GO:0003861]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]	3-isopropylmalate dehydratase complex [GO:0009316]; 3-isopropylmalate dehydratase activity [GO:0003861]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; L-leucine biosynthetic process [GO:0009098]	GO:0003861; GO:0009098; GO:0009316; GO:0046872; GO:0051539
KLLA0_A05159g	Q6CXW2	unreviewed	Q6CXW2_KLULA	60S ribosomal export protein NMD3	KLLA0_A05159g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	514	protein transport [GO:0015031]; ribosomal large subunit export from nucleus [GO:0000055]	cytoplasm [GO:0005737]; nucleus [GO:0005634]	ribosomal large subunit binding [GO:0043023]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ribosomal large subunit binding [GO:0043023]; protein transport [GO:0015031]; ribosomal large subunit export from nucleus [GO:0000055]	GO:0000055; GO:0005634; GO:0005737; GO:0015031; GO:0043023
KLLA0_A05181g	Q6CXW1	unreviewed	Q6CXW1_KLULA	KLLA0A05181p	KLLA0_A05181g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	197	ribosomal small subunit biogenesis [GO:0042274]	90S preribosome [GO:0030686]		90S preribosome [GO:0030686]; ribosomal small subunit biogenesis [GO:0042274]	GO:0030686; GO:0042274
KLLA0_A05456g	Q6CXU8	unreviewed	Q6CXU8_KLULA	Protein SDA1	KLLA0_A05456g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	759	protein transport [GO:0015031]; ribosomal large subunit biogenesis [GO:0042273]; ribosomal large subunit export from nucleus [GO:0000055]	nucleolus [GO:0005730]		nucleolus [GO:0005730]; protein transport [GO:0015031]; ribosomal large subunit biogenesis [GO:0042273]; ribosomal large subunit export from nucleus [GO:0000055]	GO:0000055; GO:0005730; GO:0015031; GO:0042273
KLLA0_A05566g	Q6CXU3	unreviewed	Q6CXU3_KLULA	KLLA0A05566p	KLLA0_A05566g	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	83					
