gene_id,gene_name,OG,in_orthogroup
YAL064W-B,NA,NA,FALSE
YAL064W,NA,NA,FALSE
YAL063C-A,NA,NA,FALSE
YAL037C-A,NA,NA,FALSE
YAL029C,MYO4,NA,FALSE
YNCA0001W,HRA1,NA,FALSE
YNCA0002W,TRN1,NA,FALSE
YNCA0003W,SNR18,NA,FALSE
YNCA0004W,TGA1,NA,FALSE
YNCA0005W,SUP56,NA,FALSE
YNCA0006C,NA,NA,FALSE
YAR035C-A,NA,NA,FALSE
YAR061W,NA,NA,FALSE
YAR064W,NA,NA,FALSE
YAR068W,NA,NA,FALSE
YNCB0001W,NA,NA,FALSE
YBL100W-C,NA,NA,FALSE
YNCB0002W,NA,NA,FALSE
YNCB0003W,SNR56,NA,FALSE
YBL071C-B,NA,NA,FALSE
YBL071C,NA,NA,FALSE
YBL055C,NA,NA,FALSE
YBL048W,RRT1,NA,FALSE
YBL044W,NA,NA,FALSE
YBL039W-B,MIN6,NA,FALSE
YNCB0004W,NA,NA,FALSE
YNCB0005C,NA,NA,FALSE
YBL008W-A,NA,NA,FALSE
YNCB0006W,NA,NA,FALSE
YBR013C,NA,NA,FALSE
YNCB0007W,NA,NA,FALSE
YNCB0008W,NA,NA,FALSE
YBR027C,NA,NA,FALSE
YBR032W,NA,NA,FALSE
YNCB0009C,SNR161,NA,FALSE
YNCB0010W,TLC1,NA,FALSE
YNCB0011C,NA,NA,FALSE
YBR050C,REG2,NA,FALSE
YBR052C,RFS1,NA,FALSE
YNCB0012W,NA,NA,FALSE
YNCB0013W,NA,NA,FALSE
YBR056W-A,MNC1,NA,FALSE
YBR063C,CNM1,NA,FALSE
YNCB0014W,TBRT,NA,FALSE
YBR071W,NA,NA,FALSE
YBR072C-A,NA,NA,FALSE
YNCB0015W,NA,NA,FALSE
YNCB0016W,NA,NA,FALSE
YBR090C,NA,NA,FALSE
YBR107C,IML3,NA,FALSE
YBR126W-A,MEO1,NA,FALSE
YBR144C,NA,NA,FALSE
YBR145W,ADH5,NA,FALSE
YBR148W,YSW1,NA,FALSE
YBR182C-A,NA,NA,FALSE
YBR184W,NA,NA,FALSE
YBR196C-A,NA,NA,FALSE
YBR196C-B,NA,NA,FALSE
YBR200W-A,NA,NA,FALSE
YBR201C-A,MIN7,NA,FALSE
YBR209W,NA,NA,FALSE
YNCB0017C,NA,NA,FALSE
YNCB0018W,NA,NA,FALSE
YBR210W,ERV15,NA,FALSE
YBR221W-A,NA,NA,FALSE
YBR230W-A,COQ21,NA,FALSE
YNCB0019C,LSR1,NA,FALSE
YBR259W,NA,NA,FALSE
YBR266C,SLM6,NA,FALSE
YBR284W,NA,NA,FALSE
YBR285W,HAB1,NA,FALSE
YBR292C,NA,NA,FALSE
YBR295W,PCA1,NA,FALSE
YBR296C-A,TYC1,NA,FALSE
YBR298C-A,NA,NA,FALSE
YCL075W,NA,NA,FALSE
YCL074W,NA,NA,FALSE
YCL058C,FYV5,NA,FALSE
YCL056C,PEX34,NA,FALSE
YCL054W-A,RDT1,NA,FALSE
YCL042W,NA,NA,FALSE
YCL026C-A,FRM2,NA,FALSE
YNCC0001C,NA,NA,FALSE
YCL021W-A,NA,NA,FALSE
YNCC0002W,SUP53,NA,FALSE
YNCC0003C,SNR43,NA,FALSE
YCR001W,NA,NA,FALSE
YCR006C,NA,NA,FALSE
YNCC0004C,SUF2,NA,FALSE
YNCC0005W,NA,NA,FALSE
YNCC0006C,SNR33,NA,FALSE
YNCC0007C,SUF16,NA,FALSE
YNCC0008W,NA,NA,FALSE
YNCC0009C,NA,NA,FALSE
YCR022C,NA,NA,FALSE
YCR024C-B,NA,NA,FALSE
YCR025C,NA,NA,FALSE
YNCC0010C,NA,NA,FALSE
YNCC0011W,SNR65,NA,FALSE
YNCC0012C,SNR189,NA,FALSE
YCR041W,NA,NA,FALSE
YNCC0015W,SUT035,NA,FALSE
YCR050C,NA,NA,FALSE
YNCC0013W,SUP61,NA,FALSE
YCR085W,NA,NA,FALSE
YCR095W-A,NA,NA,FALSE
YNCC0014W,NA,NA,FALSE
YCR108C,NA,NA,FALSE
YDL241W,NA,NA,FALSE
YDL223C,HBT1,NA,FALSE
YDL214C,PRR2,NA,FALSE
YNCD0001W,NA,NA,FALSE
YDL204W-A,NA,NA,FALSE
YDL197C,ASF2,NA,FALSE
YDL184C,RPL41A,NA,FALSE
YDL159W-A,NA,NA,FALSE
YDL133C-A,RPL41B,NA,FALSE
YNCD0002C,SNR63,NA,FALSE
YDL070W,BDF2,NA,FALSE
YDL069C,CBS1,NA,FALSE
YNCD0003W,NA,NA,FALSE
YDL022C-A,NA,NA,FALSE
YNCD0004W,NA,NA,FALSE
YDL009C,NA,NA,FALSE
YNCD0005C,NA,NA,FALSE
YDL007C-A,NA,NA,FALSE
YNCD0006W,NA,NA,FALSE
YDR003W-A,NA,NA,FALSE
YDR010C,NA,NA,FALSE
YNCD0007C,NA,NA,FALSE
YDR029W,NA,NA,FALSE
YNCD0033W,SUT053,NA,FALSE
YNCD0034C,SUT468,NA,FALSE
YNCD0008W,NA,NA,FALSE
YNCD0009W,NA,NA,FALSE
YDR034W-B,CPP3,NA,FALSE
YDR042C,NA,NA,FALSE
YNCD0010C,SNR47,NA,FALSE
YNCD0011W,NA,NA,FALSE
YNCD0012W,NA,NA,FALSE
YNCD0013C,NA,NA,FALSE
YDR096W,GIS1,NA,FALSE
YNCD0014C,NA,NA,FALSE
YDR102C,NA,NA,FALSE
YNCD0015C,NA,NA,FALSE
YDR114C,NA,NA,FALSE
YDR119W,VBA4,NA,FALSE
YDR134C,CCW22,NA,FALSE
YDR157W,NA,NA,FALSE
YDR169C-A,NA,NA,FALSE
YNCD0016C,NA,NA,FALSE
YDR194W-A,NA,NA,FALSE
YDR209C,NA,NA,FALSE
YNCD0017W,NA,NA,FALSE
YDR215C,NA,NA,FALSE
YNCD0018W,SUP2,NA,FALSE
YDR246W-A,NA,NA,FALSE
YNCD0019C,NA,NA,FALSE
YNCD0020W,NA,NA,FALSE
YDR274C,NA,NA,FALSE
YDR275W,TLD1,NA,FALSE
YNCD0021C,NA,NA,FALSE
YDR281C,PHM6,NA,FALSE
YNCD0022C,NA,NA,FALSE
YNCD0023C,NA,NA,FALSE
YNCD0024C,NA,NA,FALSE
YDR344C,NA,NA,FALSE
YNCD0025W,EMT1,NA,FALSE
YNCD0026W,NA,NA,FALSE
YNCD0027C,SUF3,NA,FALSE
YNCD0028W,NA,NA,FALSE
YDR438W,THI74,NA,FALSE
YDR441C,APT2,NA,FALSE
YNCD0029C,NA,NA,FALSE
YDR461C-A,CMI8,NA,FALSE
YNCD0030W,SNR13,NA,FALSE
YDR504C,SPG3,NA,FALSE
YNCD0031C,NA,NA,FALSE
YDR524W-C,NA,NA,FALSE
YDR525W,API2,NA,FALSE
YNCD0032C,SNR84,NA,FALSE
YDR538W,PAD1,NA,FALSE
YDR539W,FDC1,NA,FALSE
YDR540C,IRC4,NA,FALSE
YEL073C,NA,NA,FALSE
YEL071W,DLD3,NA,FALSE
YEL070W,DSF1,NA,FALSE
YEL068C,NA,NA,FALSE
YEL067C,NA,NA,FALSE
YEL059W,HHY1,NA,FALSE
YEL057C,SDD1,NA,FALSE
YNCE0001C,SNR80,NA,FALSE
YNCE0002W,SNR67,NA,FALSE
YNCE0003W,SNR53,NA,FALSE
YNCE0004C,NA,NA,FALSE
YEL035C,UTR5,NA,FALSE
YEL033W,MTC7,NA,FALSE
YNCE0005W,NA,NA,FALSE
YEL028W,NA,NA,FALSE
YNCE0006W,IMT4,NA,FALSE
YNCE0007C,RPR1,NA,FALSE
YEL014C,NA,NA,FALSE
YNCE0008C,NA,NA,FALSE
YNCE0009C,NA,NA,FALSE
YEL009C-A,NA,NA,FALSE
YNCE0010W,NA,NA,FALSE
YEL008W,NA,NA,FALSE
YNCE0011C,SNR14,NA,FALSE
YNCE0012W,NA,NA,FALSE
YER014C-A,BUD25,NA,FALSE
YNCE0013W,NA,NA,FALSE
YER038W-A,FMP49,NA,FALSE
YER039C,HVG1,NA,FALSE
YER044C-A,MEI4,NA,FALSE
YNCE0014W,NA,NA,FALSE
YER053C-A,NA,NA,FALSE
YNCE0015C,SUP19,NA,FALSE
YNCE0016C,NA,NA,FALSE
YER076C,NA,NA,FALSE
YER078W-A,NA,NA,FALSE
YNCE0017W,SRG1,NA,FALSE
YER084W,NA,NA,FALSE
YER085C,NA,NA,FALSE
YER096W,SHC1,NA,FALSE
YNCE0018W,NA,NA,FALSE
YER109C,FLO8,NA,FALSE
YER121W,NA,NA,FALSE
YNCE0019W,SNR4,NA,FALSE
YNCE0020C,SNR52,NA,FALSE
YNCE0021C,NA,NA,FALSE
YNCE0022C,NA,NA,FALSE
YER135C,NA,NA,FALSE
YNCE0023W,NA,NA,FALSE
YNCE0024W,SCR1,NA,FALSE
YNCE0025C,NA,NA,FALSE
YER145C-A,NA,NA,FALSE
YNCE0026W,NA,NA,FALSE
YNCE0027C,NA,NA,FALSE
YNCE0028C,NA,NA,FALSE
YER175W-A,NA,NA,FALSE
YNCE0029C,NA,NA,FALSE
YER186C,NA,NA,FALSE
YER188W,NA,NA,FALSE
YFL056C,AAD6,NA,FALSE
YFL041W-A,NA,NA,FALSE
YNCF0001C,RUF21,NA,FALSE
YFL019C,NA,NA,FALSE
YNCF0002W,SUF9,NA,FALSE
YFL015C,NA,NA,FALSE
YFL012W,NA,NA,FALSE
YFL010W-A,AUA1,NA,FALSE
YNCF0003C,RUF20,NA,FALSE
YNCF0004C,NA,NA,FALSE
YNCF0005C,NA,NA,FALSE
YNCF0006W,SUF20,NA,FALSE
YNCF0007W,SUP11,NA,FALSE
YFR012W-A,NA,NA,FALSE
YNCF0008C,NA,NA,FALSE
YNCF0009C,NA,NA,FALSE
YFR020W,CSS2,NA,FALSE
YNCF0010C,RUF22,NA,FALSE
YNCF0011C,NA,NA,FALSE
YFR026C,ULI1,NA,FALSE
YNCF0012C,SUP6,NA,FALSE
YNCF0013W,RUF23,NA,FALSE
YFR032C-B,MIN10,NA,FALSE
YFR035C,NA,NA,FALSE
YNCF0014C,NA,NA,FALSE
YFR054C,NA,NA,FALSE
YFR055W,IRC7,NA,FALSE
YGL258W,VEL1,NA,FALSE
YNCG0047C,SUT532,NA,FALSE
YGL255W,ZRT1,NA,FALSE
YNCG0001C,RME3,NA,FALSE
YGL235W,NA,NA,FALSE
YGL230C,NA,NA,FALSE
YNCG0002C,NA,NA,FALSE
YNCG0003C,NA,NA,FALSE
YGL204C,NA,NA,FALSE
YNCG0004W,NA,NA,FALSE
YNCG0005W,NA,NA,FALSE
YGL194C-A,NA,NA,FALSE
YNCG0006C,RME2,NA,FALSE
YGL193C,NA,NA,FALSE
YGL188C-A,NA,NA,FALSE
YNCG0007C,NA,NA,FALSE
YGL168W,HUR1,NA,FALSE
YNCG0008W,NA,NA,FALSE
YGL149W,NA,NA,FALSE
YNCG0009C,NA,NA,FALSE
YGL118C,NA,NA,FALSE
YNCG0010W,SNR82,NA,FALSE
YNCG0011W,NA,NA,FALSE
YNCG0012W,SOE1,NA,FALSE
YGL088W,NA,NA,FALSE
YNCG0013W,SNR10,NA,FALSE
YNCG0014C,SNR39,NA,FALSE
YNCG0015C,SNR39B,NA,FALSE
YGL063W,PUS2,NA,FALSE
YNCG0016C,NA,NA,FALSE
YNCG0017W,NA,NA,FALSE
YNCG0018C,NA,NA,FALSE
YGL041C-B,NA,NA,FALSE
YNCG0019W,SUP54,NA,FALSE
YGL034C,NA,NA,FALSE
YNCG0020C,NA,NA,FALSE
YGL015C,BIL2,NA,FALSE
YGL007C-A,NA,NA,FALSE
YGL007W,BRP1,NA,FALSE
YGL006W-A,NA,NA,FALSE
YGR016C-A,NA,NA,FALSE
YGR018C,NA,NA,FALSE
YNCG0021W,NA,NA,FALSE
YGR025W,NA,NA,FALSE
YNCG0022W,NA,NA,FALSE
YNCG0023C,NA,NA,FALSE
YNCG0024W,SNR46,NA,FALSE
YGR031C-A,NAG1,NA,FALSE
YGR035C,NA,NA,FALSE
YGR035W-A,NA,NA,FALSE
YNCG0025C,NA,NA,FALSE
YGR039W,NA,NA,FALSE
YGR043C,NQM1,NA,FALSE
YGR045C,NA,NA,FALSE
YGR050C,NA,NA,FALSE
YNCG0026W,SNR48,NA,FALSE
YGR071C,ENV11,NA,FALSE
YNCG0048W,SUT125,NA,FALSE
YNCG0049W,SUT126,NA,FALSE
YNCG0027W,NA,NA,FALSE
YGR103W,NOP7,NA,FALSE
YNCG0028W,NA,NA,FALSE
YNCG0029C,NA,NA,FALSE
YNCG0030C,NA,NA,FALSE
YNCG0031W,NA,NA,FALSE
YGR121W-A,NA,NA,FALSE
YNCG0032W,NA,NA,FALSE
YNCG0033W,NA,NA,FALSE
YNCG0034W,NA,NA,FALSE
YNCG0035W,SUF4,NA,FALSE
YGR146C-A,NA,NA,FALSE
YNCG0036W,NA,NA,FALSE
YGR153W,NA,NA,FALSE
YGR161W-C,NA,NA,FALSE
YNCG0037W,NA,NA,FALSE
YGR164W,NA,NA,FALSE
YNCG0038C,NA,NA,FALSE
YNCG0039W,NA,NA,FALSE
YGR174W-A,NA,NA,FALSE
YNCG0040C,NA,NA,FALSE
YNCG0041W,NA,NA,FALSE
YNCG0042C,NA,NA,FALSE
YGR204C-A,NA,NA,FALSE
YNCG0043C,NA,NA,FALSE
YNCG0044C,SNR7-L,NA,FALSE
YNCG0045C,SNR7-S,NA,FALSE
YGR227C-A,OTO1,NA,FALSE
