From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	Gene Ontology (GO)	Gene Ontology IDs
YAL005C	P10591	reviewed	HSP71_YEAST	Heat shock protein SSA1 (Heat shock protein YG100)	SSA1 YAL005C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	642	cellular response to heat [GO:0034605]; chaperone cofactor-dependent protein refolding [GO:0051085]; clathrin coat disassembly [GO:0072318]; cytoplasmic translation [GO:0002181]; mitochondria-associated ubiquitin-dependent protein catabolic process [GO:0072671]; negative regulation of DNA-templated transcription [GO:0045892]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein folding [GO:0006457]; protein import into nucleus [GO:0006606]; protein polyubiquitination [GO:0000209]; protein refolding [GO:0042026]; protein targeting to mitochondrion [GO:0006626]; response to oxygen levels [GO:0070482]; SRP-dependent cotranslational protein targeting to membrane, translocation [GO:0006616]; stress granule disassembly [GO:0035617]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; fungal-type vacuole membrane [GO:0000329]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; transcription repressor complex [GO:0017053]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; heat shock protein binding [GO:0031072]; protein folding chaperone [GO:0044183]; tRNA binding [GO:0000049]; unfolded protein binding [GO:0051082]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; fungal-type vacuole membrane [GO:0000329]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; transcription repressor complex [GO:0017053]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; heat shock protein binding [GO:0031072]; protein folding chaperone [GO:0044183]; tRNA binding [GO:0000049]; unfolded protein binding [GO:0051082]; cellular response to heat [GO:0034605]; chaperone cofactor-dependent protein refolding [GO:0051085]; clathrin coat disassembly [GO:0072318]; cytoplasmic translation [GO:0002181]; mitochondria-associated ubiquitin-dependent protein catabolic process [GO:0072671]; negative regulation of DNA-templated transcription [GO:0045892]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein folding [GO:0006457]; protein import into nucleus [GO:0006606]; protein polyubiquitination [GO:0000209]; protein refolding [GO:0042026]; protein targeting to mitochondrion [GO:0006626]; response to oxygen levels [GO:0070482]; SRP-dependent cotranslational protein targeting to membrane, translocation [GO:0006616]; stress granule disassembly [GO:0035617]	GO:0000049; GO:0000209; GO:0000329; GO:0002181; GO:0005524; GO:0005576; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0006457; GO:0006606; GO:0006616; GO:0006626; GO:0009277; GO:0016887; GO:0017053; GO:0031072; GO:0034605; GO:0035617; GO:0042026; GO:0043161; GO:0044183; GO:0045892; GO:0051082; GO:0051085; GO:0070482; GO:0072318; GO:0072671; GO:0140662
YAL061W	P39713	reviewed	BDH2_YEAST	Probable diacetyl reductase [(R)-acetoin forming] 2 (EC 1.1.1.303)	BDH2 YAL061W FUN50	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	417	butanediol biosynthetic process [GO:0034079]	cytoplasm [GO:0005737]; nucleus [GO:0005634]	(R,R)-butanediol dehydrogenase activity [GO:0000721]; diacetyl reductase ((R)-acetoin forming) (NAD+) activity [GO:0052587]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; (R,R)-butanediol dehydrogenase activity [GO:0000721]; diacetyl reductase ((R)-acetoin forming) (NAD+) activity [GO:0052587]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; zinc ion binding [GO:0008270]; butanediol biosynthetic process [GO:0034079]	GO:0000721; GO:0005634; GO:0005737; GO:0008270; GO:0016616; GO:0034079; GO:0052587
YAR071W	P35842	reviewed	PPAB_YEAST	Acid phosphatase PHO11 (EC 3.1.3.2) (P56)	PHO11 YAR071W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	467	phosphate-containing compound metabolic process [GO:0006796]	cell periphery [GO:0071944]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]	acid phosphatase activity [GO:0003993]	cell periphery [GO:0071944]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; acid phosphatase activity [GO:0003993]; phosphate-containing compound metabolic process [GO:0006796]	GO:0003993; GO:0005576; GO:0006796; GO:0009277; GO:0071944
YBR072W	P15992	reviewed	HSP26_YEAST	Heat shock protein 26 (26 kDa heat shock protein)	HSP26 YBR072W YBR0714	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	214	cellular response to heat [GO:0034605]; protein folding [GO:0006457]	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; mitochondrion [GO:0005739]; nucleus [GO:0005634]	identical protein binding [GO:0042802]; mRNA binding [GO:0003729]; unfolded protein binding [GO:0051082]	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; identical protein binding [GO:0042802]; mRNA binding [GO:0003729]; unfolded protein binding [GO:0051082]; cellular response to heat [GO:0034605]; protein folding [GO:0006457]	GO:0003729; GO:0005634; GO:0005737; GO:0005739; GO:0006457; GO:0010494; GO:0034605; GO:0042802; GO:0051082
YBR117C	P33315	reviewed	TKT2_YEAST	Transketolase 2 (TK 2) (EC 2.2.1.1)	TKL2 YBR117C YBR0912	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	681	pentose-phosphate shunt [GO:0006098]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]	metal ion binding [GO:0046872]; transketolase activity [GO:0004802]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; metal ion binding [GO:0046872]; transketolase activity [GO:0004802]; pentose-phosphate shunt [GO:0006098]	GO:0004802; GO:0005634; GO:0005737; GO:0005829; GO:0006098; GO:0046872
YBR285W	P38354	reviewed	YB8A_YEAST	Putative uncharacterized protein YBR285W	YBR285W YBR2023	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	144	autophagy [GO:0006914]	autophagosome [GO:0005776]	ribosome binding [GO:0043022]	autophagosome [GO:0005776]; ribosome binding [GO:0043022]; autophagy [GO:0006914]	GO:0005776; GO:0006914; GO:0043022
YBR296C	P38361	reviewed	PHO89_YEAST	Phosphate permease PHO89 (Na(+)/Pi cotransporter PHO89)	PHO89 ITN1 YBR296C YBR2113	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	574	phosphate ion transmembrane transport [GO:0035435]; phosphate ion transport [GO:0006817]; transmembrane transport [GO:0055085]	endoplasmic reticulum [GO:0005783]; plasma membrane [GO:0005886]	identical protein binding [GO:0042802]; sodium:phosphate symporter activity [GO:0005436]	endoplasmic reticulum [GO:0005783]; plasma membrane [GO:0005886]; identical protein binding [GO:0042802]; sodium:phosphate symporter activity [GO:0005436]; phosphate ion transmembrane transport [GO:0035435]; phosphate ion transport [GO:0006817]; transmembrane transport [GO:0055085]	GO:0005436; GO:0005783; GO:0005886; GO:0006817; GO:0035435; GO:0042802; GO:0055085
YCL048W-A	Q2V2Q2	reviewed	YC048_YEAST	Uncharacterized protein YCL048W-A	YCL048W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	79		cell periphery [GO:0071944]; fungal-type vacuole [GO:0000324]; plasma membrane [GO:0005886]; side of membrane [GO:0098552]		cell periphery [GO:0071944]; fungal-type vacuole [GO:0000324]; plasma membrane [GO:0005886]; side of membrane [GO:0098552]	GO:0000324; GO:0005886; GO:0071944; GO:0098552
YDL085W	Q07500	reviewed	NDH2_YEAST	External NADH-ubiquinone oxidoreductase 2, mitochondrial (EC 1.6.5.9) (External NADH dehydrogenase 2)	NDE2 NDH2 YDL085W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	545	glycolytic fermentation to ethanol [GO:0019655]	mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]	NADH dehydrogenase activity [GO:0003954]; NADH:ubiquinone reductase (non-electrogenic) activity [GO:0050136]; oxidoreductase activity [GO:0016491]	mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; NADH dehydrogenase activity [GO:0003954]; NADH:ubiquinone reductase (non-electrogenic) activity [GO:0050136]; oxidoreductase activity [GO:0016491]; glycolytic fermentation to ethanol [GO:0019655]	GO:0003954; GO:0005739; GO:0005758; GO:0016491; GO:0019655; GO:0050136
YDL204W	Q12443	reviewed	RTN2_YEAST	Reticulon-like protein 2	RTN2 YDL204W D1062	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	393	endoplasmic reticulum inheritance [GO:0048309]; endoplasmic reticulum tubular network maintenance [GO:0071788]; endoplasmic reticulum tubular network organization [GO:0071786]; ER-dependent peroxisome organization [GO:0032581]; response to endoplasmic reticulum stress [GO:0034976]	cell periphery [GO:0071944]; cortical endoplasmic reticulum [GO:0032541]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum tubular network [GO:0071782]; nucleus [GO:0005634]		cell periphery [GO:0071944]; cortical endoplasmic reticulum [GO:0032541]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum tubular network [GO:0071782]; nucleus [GO:0005634]; endoplasmic reticulum inheritance [GO:0048309]; endoplasmic reticulum tubular network maintenance [GO:0071788]; endoplasmic reticulum tubular network organization [GO:0071786]; ER-dependent peroxisome organization [GO:0032581]; response to endoplasmic reticulum stress [GO:0034976]	GO:0005634; GO:0005737; GO:0005783; GO:0005789; GO:0032541; GO:0032581; GO:0034976; GO:0048309; GO:0071782; GO:0071786; GO:0071788; GO:0071944
