gene_id,gene_name,OG,in_orthogroup
YAL068C,PAU8,OG0000002,TRUE
YAL067W-A,NA,OG0003464,TRUE
YAL067C,SEO1,OG0000101,TRUE
YAL065C,NA,OG0000009,TRUE
YAL064W-B,NA,NA,FALSE
YAL064C-A,TDA8,OG0000009,TRUE
YAL064W,NA,NA,FALSE
YAL063C-A,NA,NA,FALSE
YAL063C,FLO9,OG0000009,TRUE
YAL062W,GDH3,OG0000825,TRUE
YAL061W,BDH2,OG0000111,TRUE
YAL060W,BDH1,OG0000111,TRUE
YAL059W,ECM1,OG0003811,TRUE
YAL058W,CNE1,OG0003796,TRUE
YAL056W,GPB2,OG0000603,TRUE
YAL055W,PEX22,OG0003488,TRUE
YAL054C,ACS1,OG0000208,TRUE
YAL053W,FLC2,OG0000067,TRUE
YAL051W,OAF1,OG0000058,TRUE
YAL049C,AIM2,OG0000635,TRUE
YAL048C,GEM1,OG0002242,TRUE
YAL047C,SPC72,OG0004478,TRUE
YAL046C,BOL3,OG0002925,TRUE
YAL044W-A,BOL1,OG0003711,TRUE
YAL044C,GCV3,OG0002448,TRUE
YAL043C,PTA1,OG0001680,TRUE
YAL042W,ERV46,OG0002079,TRUE
YAL041W,CDC24,OG0001180,TRUE
YAL040C,CLN3,OG0000289,TRUE
YAL039C,CYC3,OG0002524,TRUE
YAL038W,CDC19,OG0000533,TRUE
YAL037C-A,NA,NA,FALSE
YAL037W,NA,OG0004085,TRUE
YAL036C,RBG1,OG0001302,TRUE
YAL035W,FUN12,OG0001501,TRUE
YAL034W-A,MTW1,OG0002470,TRUE
YAL034C,FUN19,OG0000458,TRUE
YAL033W,POP5,OG0003633,TRUE
YAL032C,PRP45,OG0002609,TRUE
YAL031C,GIP4,OG0003650,TRUE
YAL030W,SNC1,OG0000472,TRUE
YAL029C,MYO4,NA,FALSE
YAL028W,FRT2,OG0004093,TRUE
YAL027W,SAW1,OG0003478,TRUE
YAL026C,DRS2,OG0003128,TRUE
YNCA0001W,HRA1,NA,FALSE
YAL025C,MAK16,OG0002782,TRUE
YAL024C,LTE1,OG0002325,TRUE
YAL023C,PMT2,OG0000105,TRUE
YAL022C,FUN26,OG0002354,TRUE
YAL021C,CCR4,OG0003035,TRUE
YAL020C,ATS1,OG0003424,TRUE
YAL019W,FUN30,OG0001986,TRUE
YAL018C,LDS1,OG0000297,TRUE
YAL017W,PSK1,OG0000468,TRUE
YAL016W,TPD3,OG0000659,TRUE
YAL015C,NTG1,OG0000488,TRUE
YAL014C,SYN8,OG0002695,TRUE
YAL013W,DEP1,OG0003292,TRUE
YAL012W,CYS3,OG0001432,TRUE
YAL011W,SWC3,OG0000786,TRUE
YAL010C,MDM10,OG0003296,TRUE
YAL009W,SPO7,OG0001613,TRUE
YAL008W,FUN14,OG0003576,TRUE
YAL007C,ERP2,OG0000265,TRUE
YNCA0002W,TRN1,NA,FALSE
