TXNAME	GENEID
rna-NM_001184582.1	YAL067W-A
rna-NM_001180042.1	YAL064W-B
rna-NM_001178206.2	YAL064W
rna-NM_001178204.1	GDH3
rna-NM_001178203.1	BDH2
rna-NM_001178202.2	BDH1
rna-NM_001178201.2	ECM1
rna-NM_001178200.1	CNE1
rna-NM_001178199.2	GPB2
rna-NM_001178198.1	PEX22
rna-NM_001178196.2	FLC2
rna-NM_001178195.2	OAF1
rna-NM_001184453.1	BOL1
rna-NM_001178187.1	ERV46
rna-NM_001178186.1	CDC24
rna-NM_001178183.1	CDC19
rna-NM_001178182.1	YAL037W
rna-NM_001178180.1	FUN12
rna-NM_001178179.1	MTW1
rna-NM_001178178.1	POP5
rna-NM_001178175.1	SNC1
rna-NM_001178173.1	FRT2
rna-NM_001178172.1	SAW1
rna-NR_132149.1	HRA1
rna-NM_001178164.1	FUN30
rna-NM_001178162.2	PSK1
rna-NM_001178161.1	TPD3
rna-NM_001178158.2	DEP1
rna-NM_001178157.1	CYS3
rna-NM_001178156.1	SWC3
rna-NM_001178154.1	SPO7
rna-NM_001178153.1	FUN14
rna-NA	NA
rna-NM_001178150.1	EFB1
rna-NR_132150.1	SNR18
rna-NM_001178149.1	VPS8
rna-NM_001178209.1	NUP60
rna-NM_001178210.1	SWD1
rna-NM_001178212.1	SEN34
rna-NM_001178216.1	ADE1
rna-NM_001178221.1	UIP3
rna-NM_001178222.1	KTD1
rna-NM_001178223.1	DFP2
rna-NM_001178224.1	PRM9
rna-NM_001178225.1	MST28
rna-NM_001178226.1	YAT1
rna-NM_001178227.1	SWH1
rna-NM_001178230.1	FLO1
rna-NM_001178235.1	YAR064W
rna-NM_001180045.1	YAR066W
rna-NM_001178236.1	YAR068W
rna-NM_001178239.1	PHO11
rna-NM_001180043.1	PAU8
rna-NM_001178208.1	SEO1
rna-NM_001179897.1	YAL065C
rna-NM_001180041.1	TDA8
rna-NM_001184642.1	YAL063C-A
rna-NM_001178205.1	FLO9
rna-NM_001178197.1	ACS1
rna-NM_001178194.1	AIM2
rna-NM_001178193.1	GEM1
rna-NM_001178192.2	SPC72
rna-NM_001178191.1	BOL3
rna-NM_001178189.1	GCV3
rna-NM_001178188.1	PTA1
rna-NM_001178185.1	CLN3
rna-NM_001178184.1	CYC3
rna-NM_001184629.1	YAL037C-A
rna-NM_001178181.1	RBG1
rna-NM_001180035.1	FUN19
rna-NM_001178177.1	PRP45
rna-NM_001178176.1	GIP4
rna-NM_001178174.1	MYO4
rna-NM_001178171.2	DRS2
rna-NM_001178170.2	MAK16
rna-NM_001178169.1	LTE1
rna-NM_001178168.1	PMT2
rna-NM_001178167.1	FUN26
rna-NM_001178166.1	CCR4
rna-NM_001178165.2	ATS1
rna-NM_001178163.1	LDS1
rna-NM_001178160.1	NTG1
rna-NM_001178159.1	SYN8
rna-NM_001178155.2	MDM10
rna-NM_001178152.1	ERP2
rna-NM_001178151.1	SSA1
rna-NM_001178148.1	TFC3
rna-NM_001180033.1	ERP1
rna-NM_001178211.1	RFA1
rna-NM_001178213.1	YAR009C
rna-NM_001178214.1	YAR010C
rna-NM_001178215.2	BUD14
rna-NM_001178217.1	KIN3
rna-NM_001178218.2	CDC15
rna-NM_001178219.1	PAU7
rna-NM_001178220.2	DFP1
rna-NM_001184583.1	YAR035C-A
rna-NM_001178342.1	SFT2
rna-NM_001184585.1	YBL100W-C
rna-NM_001180049.1	YBL100W-A
rna-NM_001180050.2	YBL100W-B
rna-NM_001178339.2	ATP1
rna-NM_001178338.1	BNA4
rna-NM_001178337.2	BRN1
rna-NM_001178335.1	MRX3
rna-NM_001178332.1	RPL32
rna-NM_001178330.1	MRP21
rna-NM_001178329.1	AVT5
rna-NM_001178325.1	BOI1
rna-NM_001178321.1	YBL081W
rna-NM_001178319.1	NUP170
rna-NR_132151.1	SNR56
rna-NM_001184454.1	KTI11
rna-NM_001178309.1	AST1
rna-NM_001178308.2	PRS4
rna-NM_001178303.1	KIP1
rna-NM_001178300.1	YEL1
rna-NM_001178299.1	IAI11
rna-NM_001178298.1	SHP1
rna-NM_001178296.2	PTC3
rna-NM_001178294.1	TOD6
rna-NM_001178290.1	SEC17
rna-NM_001178289.1	MOH1
rna-NM_001348869.1	RRT1
rna-NM_001178286.1	PSY4
rna-NM_001178284.1	YBL044W
rna-NM_001178283.1	ECM13
rna-NM_001178281.1	PRE7
rna-NM_001184527.1	MIN6
rna-NM_001178278.1	MRPL16
rna-NM_001178277.1	APL3
rna-NM_001178272.1	HEK2
rna-NM_001178271.1	SHE1
rna-NM_001178269.1	YBL029W
rna-NM_001178267.1	RPL19B
rna-NM_001178266.1	LSM2
rna-NM_001178265.1	RRN10
rna-NM_001178264.1	NCL1
rna-NM_001178260.1	RFT1
rna-NM_001178259.1	APN2
rna-NM_001178256.1	FUS3
rna-NM_001178255.1	ACH1
rna-NM_001178253.1	FMT1
rna-NM_001178251.1	SCT1
rna-NM_001178249.1	ALK2
rna-NM_001184539.1	YBL008W-A
rna-NM_001178248.2	HIR1
rna-NM_001178245.1	PDR3
rna-NM_001180047.1	YBL005W-A
rna-NM_001180048.2	YBL005W-B
rna-NM_001178244.1	UTP20
rna-NM_001178242.1	HTB2
rna-NM_001178351.1	COQ1
rna-NM_001178353.1	RCR1
rna-NM_001178354.1	UGA2
rna-NM_001178358.1	HHT1
rna-NM_001180055.1	YBR012W-A
rna-NM_001180056.2	YBR012W-B
rna-NM_001178364.1	CPP1
rna-NR_172474.1	YNCB0008W
rna-NM_001178368.1	GAL1
rna-NM_001178369.1	FUR4
rna-NM_001178370.1	POA1
rna-NM_001178372.1	SCO2
rna-NM_001178378.1	RKM3
rna-NM_001178379.1	RPL4A
rna-NM_001346796.1	YBR032W
rna-NM_001178381.1	EDS1
rna-NR_132153.1	TLC1
rna-NM_001178386.1	CHS2
rna-NM_001178387.1	ATP3
rna-NM_001178388.1	FIG1
rna-NM_001178389.1	FAT1
rna-NM_001178395.1	FMP23
rna-NM_001178396.1	RPS11B
rna-NM_001178402.1	YRO2
rna-NM_001178404.1	MRX18
rna-NM_001270739.1	MNC1
rna-NR_172475.1	TBRT
rna-NM_001178419.3	YBR071W
rna-NM_001178420.1	HSP26
rna-NM_001178421.4	RDH54
rna-NM_001178422.2	PFF1
rna-NM_001178424.2	ECM8
rna-NM_001178426.2	ECM33
rna-NM_001178431.3	TEC1
rna-NM_001178432.1	MIS1
rna-NM_001178433.3	AAC3
rna-NM_001178435.3	RFC5
rna-NM_001178442.2	PBY1
rna-NM_001178444.3	YBR096W
rna-NM_001178445.2	VPS15
rna-NM_001178446.1	MMS4
rna-NM_001178451.1	SIF2
