Orthogroup,gene_id,original_id,cagl_id,scer_gene_name,functional_category,category_order
OG0000517,KLLA0_B07557g,XP_451865.1,NA,CCP1,Antioxidant,1
OG0000242,KLLA0_D11660g,XP_453581.1,NA,CTT1,Antioxidant,1
OG0001098,KLLA0_E05567g,XP_454197.1,NA,SOD1,Antioxidant,1
OG0000815,KLLA0_E03609g,XP_454107.1,NA,SOD2,Antioxidant,1
OG0000585,KLLA0_E21605g,XP_454928.1,NA,TRR1,Antioxidant,1
OG0000173,KLLA0_E16347g,XP_454686.1,NA,TRX2,Antioxidant,1
NA,NA,NA,NA,TSA1,Antioxidant,1
OG0000176,KLLA0_F20009g,XP_451323.1,NA,ahp1,Antioxidant,1
OG0001432,KLLA0_F07909g,XP_455438.1,NA,cys3,Antioxidant,1
OG0001009,KLLA0_E24069g,XP_455036.1,NA,glr1,Antioxidant,1
OG0000007,KLLA0_D11000g,XP_453552.1,NA,gre2,Antioxidant,1
OG0000532,KLLA0_C01298g,XP_452253.1,NA,grx1,Antioxidant,1
OG0003440,KLLA0_F14058g,XP_455711.1,NA,gsh1,Antioxidant,1
OG0000837,KLLA0_B09152g,XP_451936.1,NA,tkl2,Antioxidant,1
OG0000384,KLLA0_B01628g,XP_451603.1,NA,tsa2,Antioxidant,1
OG0002808,KLLA0_F18194g,XP_455896.1,NA,hsp104,Chaperon,2
OG0000379,KLLA0_D07634g,XP_453403.1,NA,hsp12,Chaperon,2
OG0004261,KLLA0_D17446g,XP_453832.1,NA,hsp42,Chaperon,2
OG0003436,KLLA0_F09449g,XP_455510.1,NA,hsp60,Chaperon,2
OG0003249,KLLA0_E16897g,XP_454711.1,NA,hsp78,Chaperon,2
OG0000887,KLLA0_D12958g,XP_453640.1,NA,hsp82,Chaperon,2
OG0002474,KLLA0_C14322g,XP_452841.1,NA,sba1,Chaperon,2
OG0000018,KLLA0_E20527g,XP_453252.1,NA,ssa1,Chaperon,2
OG0000219,KLLA0_E23695g,XP_455022.1,NA,lys20,Amino Acid Metabolism,3
OG0000015,KLLA0_F00440g,XP_452546.1,NA,ald5,Carbon Metabolism,4
OG0004041,KLLA0_F02728g,XP_455203.1,NA,ara1,Carbon Metabolism,4
OG0002061,KLLA0_F06556g,XP_455377.1,NA,aro4,Carbon Metabolism,4
OG0000695,KLLA0_B04884g,XP_451751.1,NA,dak1,Carbon Metabolism,4
OG0000539,KLLA0_C01155g,XP_452246.1,NA,glk1,Carbon Metabolism,4
OG0000284,KLLA0_C08217g,XP_452565.1,NA,gpp2,Carbon Metabolism,4
OG0000514,KLLA0_B12694g,XP_452096.1,NA,pgm2,Carbon Metabolism,4
OG0000547,KLLA0_A02607g,XP_451115.1,NA,tal1,Carbon Metabolism,4
OG0001869,KLLA0_B08822g,XP_451921.1,NA,tps1,Carbon Metabolism,4
OG0002245,KLLA0_F25652g,XP_456222.1,NA,ugp1,Carbon Metabolism,4
OG0001558,KLLA0_D19855g,XP_453944.1,NA,zwf1,Carbon Metabolism,4
OG0000928,KLLA0_D05929g,XP_453326.1,NA,pep4,Protein Degradation,5
OG0002313,KLLA0_A10153g,XP_451444.1,NA,pre5,Protein Degradation,5
OG0001775,KLLA0_A05093g,XP_451224.1,NA,pup2,Protein Degradation,5
OG0001702,KLLA0_E14147g,XP_454588.1,NA,rpn11,Protein Degradation,5
OG0001911,KLLA0_E13773g,XP_454571.1,NA,rpt1,Protein Degradation,5
OG0000883,KLLA0_C01738g,XP_452273.1,NA,tfs1,Protein Degradation,5
OG0003350,KLLA0_B14278g,XP_452166.1,NA,uba1,Protein Degradation,5
OG0000123,KLLA0_B03234g,XP_451677.1,NA,cdc48,Not Classified,6
OG0003419,KLLA0_F03190g,XP_455224.1,NA,cpa2,Not Classified,6
NA,NA,NA,NA,lsp1,Not Classified,6
OG0000014,KLLA0_A09075g,XP_451397.1,NA,oye3,Not Classified,6
OG0000372,KLLA0_C01111g,XP_452244.1,NA,pdi1,Not Classified,6
OG0000124,KLLA0_E14411g,XP_454599.1,NA,pil1,Not Classified,6
OG0001800,KLLA0_F22242g,XP_456073.1,NA,pnc1,Not Classified,6
OG0000253,KLLA0_E19889g,XP_454851.1,NA,adh6,Unknown Function,7
OG0003394,KLLA0_F12892g,XP_455660.1,NA,dnm1,Unknown Function,7
OG0000499,KLLA0_C02167g,XP_452293.1,NA,gor1,Unknown Function,7
OG0000191,KLLA0_D03608g,XP_453225.1,NA,ola1,Unknown Function,7
OG0000027,KLLA0_F04323g,XP_455275.1,NA,pst2,Unknown Function,7
OG0000127,KLLA0_F24464g,XP_456170.1,NA,ynl134c,Unknown Function,7
