Orthogroup	C_glabrata	S_cerevisiae
OG0000001	QNG16885.1 HXT14 [Nakaseomyces glabratus]	"YNL318C HXT14 SGDID_S000005262_ Chr XIV from 40329-38707_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""Protein with similarity to hexose transporter family members; expression is induced in low glucose and repressed in high glucose; the authentic_ non-tagged protein is detected in highly purified mitochondria in high-throughput studies"""
OG0000001	QNG15959.1 uncharacterized protein GWK60_L00099 [Nakaseomyces glabratus], QNG12879.1 uncharacterized protein GWK60_D02805 [Nakaseomyces glabratus], QNG12880.1 uncharacterized protein GWK60_D02827 [Nakaseomyces glabratus]	"YFL011W HXT10 SGDID_S000001883_ Chr VI from 112345-113985_ Genome Release 64-5-1_ Verified ORF_ ""Hexose transporter; expressed at low levels and expression is repressed by glucose"", YMR011W HXT2 SGDID_S000004613_ Chr XIII from 288079-289704_ Genome Release 64-5-1_ Verified ORF_ ""High-affinity glucose transporter of the major facilitator superfamily; expression is induced by low levels of glucose and repressed by high levels of glucose"""
OG0000001	QNG12177.1 HXT4 [Nakaseomyces glabratus], QNG12194.1 HXT6/7 [Nakaseomyces glabratus], QNG12135.1 uncharacterized protein GWK60_A00649 [Nakaseomyces glabratus], QNG12195.1 HXT4/6/7 [Nakaseomyces glabratus]	"YJL219W HXT9 SGDID_S000003755_ Chr X from 19497-21200_ Genome Release 64-5-1_ Verified ORF_ ""Putative hexose transporter that is nearly identical to Hxt11p; has similarity to major facilitator superfamily _MFS_ transporters_ expression of HXT9 is regulated by transcription factors Pdr1p and Pdr3p"", YOL156W HXT11 SGDID_S000005516_ Chr XV from 25273-26976_ Genome Release 64-5-1_ Verified ORF_ ""Hexose transporter; capable of transporting a broad range of substrates including_ glucose_ fructose_ mannose and galactose; polyol transporter that supports the growth on and uptake of xylitol with low affinity when overexpressed in a strain deleted for hexose family members; nearly identical in sequence to Hxt9p; has similarity to major facilitator superfamily _MFS_ transporters; involved in pleiotropic drug resistance"", YDR342C HXT7 SGDID_S000002750_ Chr IV from 1155928-1154216_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""High-affinity glucose transporter; member of the major facilitator superfamily_ nearly identical to Hxt6p_ expressed at high basal levels relative to other HXTs_ expression repressed by high glucose levels; HXT7 has a paralog_ HXT4_ that arose from the whole genome duplication"", YDR343C HXT6 SGDID_S000002751_ Chr IV from 1161320-1159608_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""High-affinity glucose transporter; member of the major facilitator superfamily_ nearly identical to Hxt7p_ expressed at high basal levels relative to other HXTs_ repression of expression by high glucose requires SNF3; HXT6 has a paralog_ HXT1_ that arose from the whole genome duplication"", YHR092C HXT4 SGDID_S000001134_ Chr VIII from 288811-287081_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""High-affinity glucose transporter; member of the major facilitator superfamily_ expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog_ HXT7_ that arose from the whole genome duplication"""
OG0000001	QNG12178.1 HXT1 [Nakaseomyces glabratus], QNG12198.1 HXT3 [Nakaseomyces glabratus]	"YDR345C HXT3 SGDID_S000002753_ Chr IV from 1164660-1162957_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""Low affinity glucose transporter of the major facilitator superfamily; expression is induced in low or high glucose conditions; HXT3 has a paralog_ HXT5_ that arose from the whole genome duplication"", YHR094C HXT1 SGDID_S000001136_ Chr VIII from 292625-290913_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""Low-affinity glucose transporter of the major facilitator superfamily; expression is induced by Hxk2p in the presence of glucose and repressed by Rgt1p when glucose is limiting; HXT1 has a paralog_ HXT6_ what arose from the whole genome duplication"""
OG0000001	QNG12179.1 HXT5 [Nakaseomyces glabratus]	"YHR096C HXT5 SGDID_S000001138_ Chr VIII from 296447-294669_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""Hexose transporter with moderate affinity for glucose; induced in the presence of non-fermentable carbon sources_ induced by a decrease in growth rate_ contains an extended N-terminal domain relative to other HXTs; HXT5 has a paralog_ HXT3_ that arose from the whole genome duplication"""
OG0000002	QNG14138.1 AWP6 [Nakaseomyces glabratus], QNG12528.1 AWP7 [Nakaseomyces glabratus], QNG13051.1 uncharacterized protein GWK60_E00033 [Nakaseomyces glabratus]	"YJR150C DAN1 SGDID_S000003911_ Chr X from 709707-708811_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""Cell wall mannoprotein; has similarity to Tir1p_ Tir2p_ Tir3p_ and Tir4p; expressed under anaerobic conditions_ completely repressed during aerobic growth"", YIR041W PAU15 SGDID_S000001480_ Chr IX from 433929-434303_ Genome Release 64-5-1_ Verified ORF_ ""Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions; SWAT-GFP and mCherry fusion proteins localize to the vacuole"", YKL224C PAU16 SGDID_S000001707_ Chr XI from 2181-1810_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions; SWAT-GFP and mCherry fusion proteins localize to the vacuole"", YCR104W PAU3 SGDID_S000000701_ Chr III from 307801-308175_ Genome Release 64-5-1_ Verified ORF_ ""Member of the seripauperin multigene family; encoded mainly in subtelomeric region; active during alcoholic fermentation; regulated by anaerobiosis; negatively regulated by oxygen; repressed by heme"", YMR325W PAU19 SGDID_S000004944_ Chr XIII from 922641-923015_ Genome Release 64-5-1_ Verified ORF_ ""Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions"", YOR394W PAU21 SGDID_S000005921_ Chr XV from 1082718-1083212_ Genome Release 64-5-1_ Verified ORF_ ""Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions; SWAT-GFP_ seamless-GFP and mCherry fusion proteins localize to the cytosol; identical to Pau22p; encodes two proteins that are translated from 2 different start codons"", YPL282C PAU22 SGDID_S000006203_ Chr XVI from 8427-7933_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions; SWAT-GFP fusion protein localizes to the endoplasmic reticulum and vacuole_ while mCherry fusion localizes to just the vacuole; identical to Pau21p; encodes two proteins that are translated from two different start codons"", YLR037C PAU23 SGDID_S000004027_ Chr XII from 223059-222685_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""Cell wall mannoprotein; has similarity to Tir1p_ Tir2p_ Tir3p_ and Tir4p; member of the seripauperin multigene family encoded mainly in subtelomeric regions; expressed under anaerobic conditions_ completely repressed during aerobic growth"", YLL025W PAU17 SGDID_S000003948_ Chr XII from 94747-95121_ Genome Release 64-5-1_ Verified ORF_ ""Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions; SWAT-GFP and mCherry fusion proteins localize to the vacuole; YLL025W is not an essential gene"", YAR020C PAU7 SGDID_S000000073_ Chr I from 177023-176856_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""Member of the seripauperin multigene family; active during alcoholic fermentation_ regulated by anaerobiosis_ inhibited by oxygen_ repressed by heme"", YFL020C PAU5 SGDID_S000001874_ Chr VI from 99599-99231_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""Member of the seripauperin multigene family; encoded mainly in subtelomeric regions; induced during alcoholic fermentation; induced by low temperature and also by anaerobic conditions; negatively regulated by oxygen and repressed by heme"", YJR151C DAN4 SGDID_S000003912_ Chr X from 715740-712255_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""Cell wall mannoprotein; has similarity to Tir1p_ Tir2p_ Tir3p_ and Tir4p; expressed under anaerobic conditions_ completely repressed during aerobic growth"", YBL108C-A PAU9 SGDID_S000007592_ Chr II from 7733-7605_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum and vacuole respectively"", YBR301W PAU24 SGDID_S000000505_ Chr II from 809057-809419_ Genome Release 64-5-1_ Verified ORF_ ""Cell wall mannoprotein; has similarity to Tir1p_ Tir2p_ Tir3p_ and Tir4p; member of the seripauperin multigene family encoded mainly in subtelomeric regions; expressed under anaerobic conditions_ completely repressed during aerobic growth"", YGR294W PAU12 SGDID_S000003526_ Chr VII from 1080306-1080668_ Genome Release 64-5-1_ Verified ORF_ ""Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions; SWAT-GFP fusion protein localizes to both the endoplasmic reticulum and vacuole"", YEL049W PAU2 SGDID_S000000775_ Chr V from 63728-64090_ Genome Release 64-5-1_ Verified ORF_ ""Member of the seripauperin multigene family; encoded mainly in subtelomeric region; active during alcoholic fermentation; regulated by anaerobiosis; negatively regulated by oxygen; repressed by heme"", YAL068C PAU8 SGDID_S000002142_ Chr I from 2169-1807_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions"", YGL261C PAU11 SGDID_S000003230_ Chr VII from 6652-6290_ Genome Release 64-5-1_ reverse complement_ Uncharacterized ORF_ ""Putative protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions; mRNA expression appears to be regulated by SUT1 and UPC2"", YLR461W PAU4 SGDID_S000004453_ Chr XII from 1062919-1063281_ Genome Release 64-5-1_ Verified ORF_ ""Member of the seripauperin multigene family; encoded mainly in subtelomeric regions; SWAT-GFP fusion protein localizes to the endoplasmic reticulum and vacuole_ while mCherry fusion localizes to just the vacuole; active during alcoholic fermentation; regulated by anaerobiosis; negatively regulated by oxygen; repressed by heme"", YLL064C PAU18 SGDID_S000003987_ Chr XII from 13445-13083_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions; identical to Pau6p"", YNR076W PAU6 SGDID_S000005359_ Chr XIV from 781918-782280_ Genome Release 64-5-1_ Verified ORF_ ""Member of the seripauperin multigene family; encoded mainly in subtelomeric regions; SWAT-GFP fusion protein localizes to the endoplasmic reticulum and vacuole_ while mCherry fusion localizes to just the vacuole; active during alcoholic fermentation; regulated by anaerobiosis; negatively regulated by oxygen; repressed by heme; identical to Pau18p"", YOL161C PAU20 SGDID_S000005521_ Chr XV from 11911-11549_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions; SWAT-GFP and mCherry fusion proteins localize to the vacuole; expression induced by low temperature and also by anaerobic conditions; induced during alcoholic fermentation"", YHL046C PAU13 SGDID_S000001038_ Chr VIII from 12285-11923_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions; expression is induced after ethanol shock; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum and vacuole respectively"", YIL176C PAU14 SGDID_S000001438_ Chr IX from 9155-8793_ Genome Release 64-5-1_ reverse complement_ Uncharacterized ORF_ ""Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions; identical to Pau1p"", YJL223C PAU1 SGDID_S000003759_ Chr X from 9138-8776_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""Member of the seripauperin multigene family; encoded mainly in subtelomeric regions; SWAT-GFP and mCherry fusion proteins localize to the vacuole; active during alcoholic fermentation; regulated by anaerobiosis_ negatively regulated by oxygen; repressed by heme; identical to Pau14p"", YDR542W PAU10 SGDID_S000002950_ Chr IV from 1523249-1523611_ Genome Release 64-5-1_ Verified ORF_ ""Protein of unknown function; SWAT-GFP fusion protein localizes to the endoplasmic reticulum and vacuole_ while mCherry fusion localizes to the vacuole; member of the seripauperin multigene family encoded mainly in subtelomeric regions"""
OG0000002	QNG12680.1 TIR3 [Nakaseomyces glabratus]	"YIL011W TIR3 SGDID_S000001273_ Chr IX from 333727-334536_ Genome Release 64-5-1_ Verified ORF_ ""Cell wall mannoprotein; member of Srp1p/Tip1p family of serine-alanine-rich proteins; expressed under anaerobic conditions and required for anaerobic growth; TIR3 has a paralog_ TIR2_ that arose from the whole genome duplication"""
OG0000002	QNG13378.1 TIR2 [Nakaseomyces glabratus]	"YOR009W TIR4 SGDID_S000005535_ Chr XV from 344335-345798_ Genome Release 64-5-1_ Verified ORF_ ""Cell wall mannoprotein; expressed under anaerobic conditions and required for anaerobic growth; transcription is also induced by cold shock; member of the Srp1p/Tip1p family of serine-alanine-rich proteins"""
OG0000002	QNG14560.1 uncharacterized protein GWK60_H09559 [Nakaseomyces glabratus], QNG14561.1 uncharacterized protein GWK60_H09581 [Nakaseomyces glabratus], QNG13377.1 TIR1 [Nakaseomyces glabratus]	"YER011W TIR1 SGDID_S000000813_ Chr V from 175248-176012_ Genome Release 64-5-1_ Verified ORF_ ""Cell wall mannoprotein; expression is downregulated at acidic pH and induced by cold shock and anaerobiosis; abundance is increased in cells cultured without shaking; member of the Srp1p/Tip1p family of serine-alanine-rich proteins"", YOR010C TIR2 SGDID_S000005536_ Chr XV from 346950-346195_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""Putative cell wall mannoprotein; member of the Srp1p/Tip1p family of serine-alanine-rich proteins; transcription is induced by cold shock and anaerobiosis; TIR2 has a paralog_ TIR3_ that arose from the whole genome duplication"""
OG0000003	QNG17028.1 uncharacterized protein GWK60_M07271 [Nakaseomyces glabratus]	"YPL058C PDR12 SGDID_S000005979_ Chr XVI from 450377-445842_ Genome Release 64-5-1_ reverse complement_ Verified ORF_ ""Plasma membrane ATP-binding cassette _ABC_ transporter; weak-acid-inducible multidrug transporter required for weak organic acid resistance; induced by sorbate and benzoate and regulated by War1p; mutants exhibit sorbate hypersensitivity"""
