scer_gene_name,functional_category,category_order,gene_id
ENA1,Transporters,1,NA
ENA2,Transporters,1,KLLA0_E14587g
GIT1,Transporters,1,KLLA0_A01694g
PHO84,Transporters,1,QEU59767.1
PHO89,Transporters,1,KLLA0_F04169g
VTC1,Poly P Metabolism,2,KLLA0_C07799g
VTC2,Poly P Metabolism,2,KLLA0_E12101g
VTC3,Poly P Metabolism,2,NA
VTC4,Poly P Metabolism,2,KLLA0_F22627g
PHO81,Regulatory,3,KLLA0_E15687g
PHO86,Regulatory,3,KLLA0_E14983g
SPL2,Regulatory,3,KLLA0_D11066g
VIP1,Regulatory,3,NA
DDP1,Phosphatases,4,KLLA0_F20273g
GDE1,Phosphatases,4,KLLA0_F00660g
HOR2,Phosphatases,4,KLLA0_C08217g
PHM8,Phosphatases,4,KLLA0_A01408g
PHO11,Phosphatases,4,KLLA0_D00258g
PHO12,Phosphatases,4,NA
PHO5,Phosphatases,4,NA
PHO8,Phosphatases,4,KLLA0_E12827g
CBF1,Other,5,KLLA0_B13761g
CTF19,Other,5,KLLA0_D07612g
PHM6,Other,5,NA
SDT1,Other,5,NA
